date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BOYLE SPORTS, BETSSON ,BET FRED,BETFAIR SPORT,BET STARS,LAD BROKES, * SMARKETS,COMEON,10BET,888 SPORT,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-10,11,Italy,Marco Mengoni - Due vite,1%,71.0,51.0,81.0,67.0,51.0,60.0,51.0,67.0,67.0,51.0,90.0,51.0,51.0,34.0,67.0,41.0,51.0,100.0
2023-04-10,12,Armenia,Brunette - Future Lover,1%,71.0,67.0,81.0,101.0,81.0,80.0,67.0,67.0,67.0,67.0,110.0,67.0,67.0,51.0,67.0,67.0,67.0,130.0
2023-04-10,13,Switzerland,Remo Forrer - Watergun,1%,126.0,101.0,101.0,126.0,81.0,100.0,67.0,81.0,101.0,81.0,250.0,81.0,81.0,41.0,81.0,67.0,101.0,240.0
2023-04-10,14,Georgia,Iru - Echo,1%,201.0,101.0,126.0,151.0,101.0,150.0,101.0,81.0,101.0,67.0,270.0,81.0,81.0,41.0,101.0,67.0,101.0,350.0
2023-04-10,15,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81.0,101.0,81.0,126.0,126.0,100.0,101.0,126.0,101.0,151.0,220.0,101.0,101.0,101.0,151.0,67.0,101.0,240.0
2023-04-10,16,Serbia,Luke Black - Samo mi se spava,1%,126.0,101.0,126.0,151.0,101.0,125.0,101.0,101.0,151.0,81.0,210.0,101.0,101.0,101.0,101.0,101.0,101.0,160.0
2023-04-10,17,Croatia,Let 3 - Mama ŠČ!,1%,151.0,126.0,151.0,201.0,101.0,150.0,101.0,101.0,151.0,101.0,260.0,101.0,101.0,101.0,101.0,101.0,101.0,260.0
2023-04-10,18,Australia,Voyager - Promise,1%,151.0,151.0,126.0,151.0,126.0,150.0,101.0,101.0,101.0,151.0,270.0,101.0,101.0,101.0,126.0,101.0,101.0,240.0
2023-04-10,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201.0,126.0,126.0,151.0,126.0,150.0,101.0,101.0,151.0,101.0,270.0,101.0,101.0,101.0,126.0,101.0,101.0,270.0
2023-04-10,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151.0,201.0,151.0,151.0,126.0,150.0,201.0,101.0,151.0,101.0,240.0,151.0,151.0,101.0,151.0,101.0,101.0,270.0
